iter	Passed	Remaining
250	778	2322
251	781	2318
252	783	2314
253	786	2310
254	789	2307
255	792	2304
256	795	2301
257	799	2298
258	802	2295
259	805	2292
260	808	2289
261	811	2285
262	813	2280
263	816	2277
264	819	2273
265	822	2269
266	825	2267
267	828	2262
268	831	2259
269	835	2257
270	838	2256
271	842	2256
272	846	2254
273	850	2252
274	852	2248
275	855	2243
276	858	2240
277	861	2236
278	864	2233
279	867	2229
280	869	2225
281	872	2221
282	875	2218
283	878	2214
284	881	2211
285	885	2209
286	895	2224
287	898	2221
288	901	2217
289	904	2214
290	907	2210
291	909	2206
292	913	2203
293	916	2199
294	918	2195
295	921	2191
296	924	2187
297	927	2183
298	929	2179
299	932	2176
300	935	2173
301	939	2170
302	941	2166
303	945	2164
304	948	2162
305	951	2158
306	954	2155
307	957	2151
308	960	2147
309	963	2144
310	966	2140
311	968	2135
312	971	2132
313	974	2129
314	977	2125
315	980	2122
316	983	2118
317	985	2114
318	989	2111
319	992	2108
320	995	2104
321	997	2100
322	1000	2096
323	1003	2094
324	1006	2090
325	1009	2087
326	1012	2084
327	1016	2081
328	1018	2077
329	1021	2074
330	1024	2071
331	1028	2069
332	1031	2066
333	1034	2062
334	1036	2058
335	1039	2054
336	1042	2050
337	1045	2047
338	1048	2043
339	1051	2040
340	1054	2037
341	1056	2033
342	1060	2030
343	1063	2028
344	1066	2024
345	1069	2022
346	1073	2019
347	1076	2016
348	1078	2012
349	1081	2009
350	1085	2006
351	1088	2003
352	1091	2000
353	1094	1997
354	1097	1993
355	1100	1991
356	1104	1988
357	1107	1986
358	1110	1983
359	1113	1979
360	1116	1976
361	1119	1973
362	1123	1970
363	1126	1967
364	1129	1964
365	1132	1961
366	1135	1958
367	1138	1955
368	1141	1952
369	1144	1949
370	1147	1945
371	1150	1942
372	1153	1939
373	1156	1935
374	1159	1932
375	1162	1929
376	1165	1925
377	1168	1922
378	1170	1918
379	1173	1915
380	1176	1911
381	1180	1909
382	1183	1907
383	1187	1905
384	1192	1904
385	1195	1901
386	1198	1898
387	1201	1894
388	1204	1891
389	1207	1888
390	1209	1884
391	1213	1882
392	1217	1879
393	1220	1876
394	1223	1873
395	1226	1870
396	1229	1866
397	1232	1863
398	1235	1860
399	1237	1856
400	1241	1853
401	1243	1850
402	1246	1847
403	1249	1843
404	1253	1840
405	1256	1838
406	1259	1834
407	1261	1831
408	1264	1827
409	1267	1824
410	1270	1820
411	1273	1817
412	1276	1814
413	1279	1810
414	1282	1807
415	1284	1803
416	1287	1800
417	1290	1796
418	1293	1793
419	1295	1789
420	1298	1785
421	1301	1782
422	1305	1780
423	1308	1777
424	1311	1774
425	1314	1771
426	1318	1768
427	1321	1766
428	1325	1763
429	1328	1760
430	1332	1759
431	1336	1756
432	1338	1753
433	1341	1749
434	1344	1746
435	1347	1743
436	1350	1739
437	1352	1735
438	1355	1732
439	1358	1729
440	1362	1726
441	1365	1723
442	1368	1720
443	1370	1716
444	1373	1713
445	1376	1710
446	1379	1706
447	1382	1703
448	1385	1699
449	1388	1696
450	1391	1693
451	1394	1690
452	1397	1687
453	1400	1683
454	1402	1680
455	1405	1677
456	1408	1673
457	1411	1670
458	1414	1667
459	1418	1664
460	1421	1661
461	1424	1658
462	1428	1656
463	1431	1654
464	1435	1651
465	1438	1648
466	1441	1644
467	1444	1641
468	1446	1637
469	1449	1634
470	1452	1631
471	1455	1628
472	1458	1624
473	1461	1621
474	1463	1617
475	1467	1615
476	1470	1612
477	1473	1609
478	1476	1605
479	1478	1602
480	1482	1599
481	1484	1595
482	1487	1592
483	1491	1589
484	1494	1586
485	1497	1584
486	1501	1581
487	1505	1579
488	1508	1576
489	1512	1573
490	1515	1571
491	1518	1568
492	1521	1564
493	1524	1561
494	1527	1557
495	1530	1554
496	1533	1552
497	1536	1549
498	1540	1546
499	1543	1543
500	1546	1540
501	1550	1537
502	1553	1534
503	1557	1532
504	1559	1528
505	1563	1526
506	1566	1523
507	1568	1519
508	1572	1516
509	1575	1513
510	1578	1510
511	1581	1507
512	1584	1504
513	1587	1501
514	1590	1498
515	1593	1494
516	1596	1491
517	1599	1488
518	1603	1485
519	1606	1482
520	1609	1479
521	1611	1476
522	1614	1472
523	1617	1469
524	1620	1466
525	1623	1463
526	1626	1460
527	1629	1456
528	1633	1454
529	1636	1451
530	1639	1448
531	1642	1444
532	1645	1441
533	1647	1437
534	1651	1435
535	1661	1438
536	1665	1436
537	1671	1435
538	1675	1433
539	1679	1430
540	1685	1429
541	1689	1427
542	1694	1426
543	1699	1424
544	1702	1421
545	1705	1417
546	1708	1414
547	1711	1411
548	1714	1408
549	1716	1404
550	1719	1401
551	1723	1398
552	1726	1395
553	1729	1392
554	1732	1388
555	1736	1386
556	1739	1383
557	1742	1379
558	1744	1376
559	1748	1373
560	1751	1370
561	1754	1367
562	1758	1364
563	1761	1361
564	1765	1358
565	1768	1356
566	1773	1354
567	1776	1351
568	1779	1348
569	1783	1345
570	1786	1342
571	1789	1339
572	1792	1335
573	1795	1332
574	1798	1329
575	1801	1325
576	1804	1322
577	1807	1319
578	1810	1316
579	1813	1313
580	1816	1309
581	1819	1306
582	1822	1303
583	1825	1300
584	1828	1297
585	1832	1294
586	1835	1291
587	1838	1288
588	1841	1284
589	1844	1281
590	1847	1278
591	1850	1275
592	1853	1271
593	1856	1268
594	1859	1265
595	1862	1262
596	1865	1259
597	1869	1256
598	1872	1253
599	1875	1250
600	1878	1247
601	1882	1244
602	1886	1241
603	1889	1238
604	1892	1235
605	1895	1232
606	1899	1229
607	1903	1227
608	1907	1224
609	1910	1221
610	1913	1218
611	1917	1215
612	1921	1212
613	1924	1210
614	1931	1209
615	1935	1206
616	1938	1203
617	1942	1200
618	1945	1197
619	1948	1194
620	1952	1191
621	1955	1188
622	1959	1186
623	1963	1183
624	1966	1180
625	1970	1177
626	1975	1175
627	1979	1172
628	1983	1169
629	1986	1166
630	1989	1163
631	1992	1160
632	1996	1157
633	1999	1154
634	2002	1151
635	2006	1148
636	2010	1145
637	2014	1143
638	2018	1140
639	2022	1137
640	2025	1134
641	2029	1131
642	2032	1128
643	2035	1125
644	2038	1122
645	2042	1119
646	2046	1116
647	2050	1113
648	2052	1110
649	2055	1106
650	2058	1103
651	2061	1100
652	2064	1096
653	2067	1093
654	2069	1090
655	2072	1086
656	2075	1083
657	2079	1080
658	2082	1077
659	2085	1074
660	2089	1071
661	2091	1068
662	2095	1064
663	2098	1062
664	2102	1058
665	2105	1056
666	2108	1052
667	2111	1049
668	2114	1046
669	2117	1043
670	2121	1040
671	2124	1036
672	2128	1034
673	2132	1031
674	2136	1028
675	2140	1025
676	2144	1023
677	2148	1020
678	2151	1017
679	2154	1013
680	2157	1010
681	2161	1007
682	2164	1004
683	2167	1001
684	2170	998
685	2173	994
686	2176	991
687	2179	988
688	2182	985
689	2185	981
690	2188	978
691	2191	975
692	2195	972
693	2198	969
694	2201	966
695	2204	962
696	2208	959
697	2211	956
698	2214	953
699	2217	950
700	2220	947
701	2224	944
702	2227	940
703	2230	937
704	2233	934
705	2237	931
706	2240	928
707	2244	925
708	2247	922
709	2251	919
710	2254	916
711	2258	913
712	2261	910
713	2264	907
714	2268	904
715	2272	901
716	2275	898
717	2278	894
718	2281	891
719	2284	888
720	2288	885
721	2291	882
722	2294	879
723	2298	876
724	2302	873
725	2305	870
726	2308	866
727	2312	863
728	2316	861
729	2319	857
730	2324	855
731	2327	852
732	2331	849
733	2336	846
734	2339	843
735	2342	840
736	2346	837
737	2349	834
738	2352	830
739	2356	828
740	2359	824
741	2362	821
742	2366	818
743	2369	815
744	2373	812
745	2376	809
746	2379	806
747	2383	802
748	2385	799
749	2388	796
750	2391	793
751	2395	789
752	2398	786
753	2401	783
754	2404	780
755	2407	777
756	2411	773
757	2414	770
758	2417	767
759	2420	764
760	2423	761
761	2427	758
762	2431	755
763	2434	752
764	2438	748
765	2441	745
766	2445	742
767	2447	739
768	2452	736
769	2456	733
770	2460	730
771	2464	727
772	2469	725
773	2472	721
774	2476	718
775	2480	715
776	2484	713
777	2488	710
778	2492	707
779	2496	704
780	2499	700
781	2503	697
782	2507	694
783	2513	692
784	2517	689
785	2521	686
786	2525	683
787	2529	680
788	2533	677
789	2538	674
790	2542	671
791	2547	668
792	2552	666
793	2555	663
794	2559	660
795	2564	657
796	2568	654
797	2572	651
798	2575	647
799	2580	645
800	2585	642
801	2590	639
802	2596	636
803	2600	633
804	2605	631
805	2609	628
806	2613	625
807	2617	621
808	2620	618
809	2625	615
810	2630	613
811	2635	610
812	2638	606
813	2643	603
814	2647	600
815	2651	597
816	2655	594
817	2659	591
818	2662	588
819	2665	585
820	2669	582
821	2673	578
822	2679	576
823	2684	573
824	2688	570
825	2694	567
826	2699	564
827	2702	561
828	2706	558
829	2710	555
830	2714	552
831	2718	548
832	2722	545
833	2726	542
834	2730	539
835	2734	536
836	2737	533
837	2742	530
838	2747	527
839	2751	524
840	2756	521
841	2761	518
842	2765	515
843	2769	511
844	2773	508
845	2778	505
846	2782	502
847	2787	499
848	2792	496
849	2797	493
850	2800	490
851	2804	487
852	2808	484
853	2813	480
854	2817	477
855	2822	474
856	2827	471
857	2831	468
858	2836	465
859	2841	462
860	2849	459
861	2853	456
862	2857	453
863	2863	450
864	2867	447
865	2871	444
866	2877	441
867	2880	438
868	2885	434
869	2888	431
870	2893	428
871	2900	425
872	2904	422
873	2909	419
874	2913	416
875	2917	413
876	2921	409
877	2926	406
878	2930	403
879	2934	400
880	2938	396
881	2942	393
882	2946	390
883	2950	387
884	2956	384
885	2961	381
886	2966	377
887	2970	374
888	2974	371
889	2977	368
890	2981	364
891	2985	361
892	2995	358
893	3000	355
894	3008	352
895	3013	349
896	3017	346
897	3021	343
898	3025	339
899	3029	336
900	3035	333
901	3039	330
902	3043	326
903	3047	323
904	3052	320
905	3056	317
906	3061	313
907	3066	310
908	3071	307
909	3077	304
910	3081	301
911	3088	298
912	3094	294
913	3097	291
914	3103	288
915	3108	285
916	3113	281
917	3118	278
918	3121	275
919	3125	271
920	3128	268
921	3132	264
922	3135	261
923	3139	258
924	3143	254
925	3147	251
926	3151	248
927	3156	244
928	3160	241
929	3166	238
930	3169	234
931	3173	231
932	3176	228
933	3180	224
934	3184	221
935	3188	218
936	3192	214
937	3197	211
938	3201	207
939	3205	204
940	3210	201
941	3214	197
942	3218	194
943	3223	191
944	3228	187
945	3232	184
946	3238	181
947	3242	177
948	3245	174
949	3249	171
950	3253	167
951	3257	164
952	3261	160
953	3265	157
954	3270	154
955	3275	150
956	3279	147
957	3283	143
958	3287	140
959	3291	137
960	3295	133
961	3299	130
962	3302	126
963	3306	123
964	3310	120
965	3316	116
966	3319	113
967	3323	109
968	3326	106
969	3331	103
970	3334	99
971	3339	96
972	3342	92
973	3345	89
974	3349	85
975	3355	82
976	3359	79
977	3363	75
978	3367	72
979	3372	68
980	3375	65
981	3380	61
982	3384	58
983	3389	55
984	3393	51
985	3397	48
986	3401	44
987	3405	41
988	3408	37
989	3411	34
990	3415	31
991	3419	27
992	3422	24
993	3426	20
994	3430	17
995	3433	13
996	3437	10
997	3440	6
998	3444	3
999	3447	0
