iter	MultiClass
390	0.1636495867
391	0.1634736127
392	0.1632117455
393	0.1629215463
394	0.1627857938
395	0.1624363188
396	0.1621975136
397	0.1620567143
398	0.1618732229
399	0.1617276642
400	0.1615046615
401	0.1613803159
402	0.1611245746
403	0.1608842196
404	0.1606007587
405	0.1604359238
406	0.1602218248
407	0.1598035196
408	0.1596160905
409	0.1594709304
410	0.1593232687
411	0.1591426433
412	0.1590992182
413	0.1590018476
414	0.1586763256
415	0.1584959308
416	0.1582192955
417	0.1580888967
418	0.1578170887
419	0.1577358542
420	0.1574323488
421	0.157182237
422	0.15695229
423	0.1568378461
424	0.1564682933
425	0.1562643342
426	0.1560365471
427	0.1558660943
428	0.1556294394
429	0.1553472253
430	0.155215676
431	0.1549570887
432	0.1546456881
433	0.1543936391
434	0.154019897
435	0.1538501265
436	0.1536285397
437	0.153530151
438	0.1532273476
439	0.1529073193
440	0.1526829729
441	0.1523046533
442	0.1521652339
443	0.1520271545
444	0.1519066261
445	0.1517046289
446	0.1514949704
447	0.151104536
448	0.1509034129
449	0.1506346043
450	0.1503193169
451	0.1500641756
452	0.1497557982
453	0.1494314043
454	0.1492639297
455	0.1490054664
456	0.1489149071
457	0.1487552009
458	0.148479087
459	0.1482220539
460	0.1480763069
461	0.1479343655
462	0.1477505698
463	0.1475116485
464	0.1472550833
465	0.1470475038
466	0.1468894219
467	0.1467578963
468	0.1464192592
469	0.146173068
470	0.1459764885
471	0.1459100193
472	0.1457346248
473	0.1456676758
474	0.1454884107
475	0.1453901029
476	0.1453002481
477	0.1450440526
478	0.1448649294
479	0.144736186
480	0.144561501
481	0.1443637144
482	0.1442235684
483	0.143931727
484	0.1436109623
485	0.1434962909
486	0.1432402157
487	0.1430328767
488	0.1427511353
489	0.1425760463
490	0.1423863051
491	0.1422388001
492	0.1420683527
493	0.1418849294
494	0.1417471218
495	0.1415355665
496	0.141412597
497	0.1412694871
498	0.1411018489
499	0.1407510459
500	0.1406741227
501	0.1405239821
502	0.1403618271
503	0.1401847578
504	0.1398558695
505	0.1394272168
506	0.1391840261
507	0.1390944119
508	0.1389282393
509	0.1386701745
510	0.1384788502
511	0.1383854988
512	0.1381452622
513	0.1380182349
514	0.1377833968
515	0.1375082396
516	0.1374063417
517	0.1373272259
518	0.137094576
519	0.1369168433
520	0.1366996516
521	0.1365932378
522	0.1363893234
523	0.1362467324
524	0.1361073956
525	0.1358832772
526	0.1356957363
527	0.135585561
528	0.1352697047
529	0.1350771071
530	0.1348811733
531	0.1347696161
532	0.1346037419
533	0.1343547534
534	0.134230148
535	0.134002935
536	0.1338237786
537	0.1336254635
538	0.1334072817
539	0.1331499307
540	0.1329967821
541	0.1328551003
542	0.1326873436
543	0.1324027366
544	0.1323287132
545	0.1321353196
546	0.1318455435
547	0.131749128
548	0.1315243549
549	0.1313913075
550	0.1312824234
551	0.1310097255
552	0.1308701664
553	0.1307107777
554	0.1306165621
555	0.1304240911
556	0.1302231959
557	0.1300728862
558	0.1297593147
559	0.1295398802
560	0.1294540882
561	0.1292965426
562	0.1291742736
563	0.1290288413
564	0.1288787129
565	0.1287930604
566	0.1286543601
567	0.1285204563
568	0.1283795165
569	0.1281671005
570	0.1279744661
571	0.1277793217
572	0.1277176706
573	0.1274932162
574	0.1274270195
575	0.1271426547
576	0.1269721299
577	0.1267990833
578	0.1266942894
579	0.1265999801
580	0.1264361101
581	0.1263319713
582	0.1262045373
583	0.1260126
584	0.1259555684
585	0.1259045
586	0.1257699271
587	0.1256782773
588	0.1256130517
589	0.1255221672
590	0.1254012299
591	0.1252571749
592	0.1250395684
593	0.1248930322
594	0.124784908
595	0.1245388927
596	0.1243896867
597	0.1242419425
598	0.1241986146
599	0.1239906022
600	0.1238962871
601	0.1237328944
602	0.1236515352
603	0.1235257756
604	0.1233253009
605	0.1232525458
606	0.123007571
607	0.1228816748
608	0.1228319
609	0.1227155408
610	0.1224676282
611	0.1223035071
612	0.12220678
613	0.1220878564
614	0.1219591605
615	0.1218517352
616	0.1216386111
617	0.1215805754
618	0.1214243197
619	0.1213164
620	0.1210685478
621	0.1210006254
622	0.1208388448
623	0.1207325832
624	0.1205493585
625	0.1203640559
626	0.1202661769
627	0.1202023493
628	0.1200711446
629	0.1199304532
630	0.1197906824
631	0.1196271672
632	0.1194922151
633	0.1193587037
634	0.1192059723
635	0.1190687697
636	0.1189325755
637	0.1188005411
638	0.11871198
639	0.1185077909
640	0.1183790123
641	0.1182509717
642	0.1181113005
643	0.1179931634
644	0.1177992936
645	0.1176568216
646	0.1175991472
647	0.1175081022
648	0.1174043282
649	0.1173163688
650	0.1171945419
651	0.1170849831
652	0.1169292343
653	0.1167905434
654	0.1165211017
655	0.116376735
656	0.1162927539
657	0.1161260307
658	0.1159132018
659	0.1158505179
660	0.1157027873
661	0.1155686087
662	0.1154471388
663	0.1153591578
664	0.1152535323
665	0.1151825877
666	0.1150025387
667	0.1148890541
668	0.114731376
669	0.1145716651
670	0.1143764562
671	0.1143096194
672	0.1142298183
673	0.1141021457
674	0.1139543799
675	0.1137874919
676	0.1135799564
677	0.1133566807
678	0.1132717807
679	0.113203026
680	0.1130761496
681	0.1129392212
682	0.1128965666
683	0.1127216041
684	0.1126026949
685	0.1125382554
686	0.1123270533
687	0.1122434357
688	0.1121097777
689	0.1120113065
690	0.1119428275
691	0.1117803032
692	0.111605833
693	0.1115277308
694	0.1113229527
695	0.1112439527
696	0.1110323397
697	0.1109253894
698	0.1108167296
699	0.1106617619
700	0.1105634148
701	0.1104363497
702	0.1102894595
703	0.1101092583
704	0.1100469252
705	0.1098763554
706	0.1097546325
707	0.1096259284
708	0.1094886714
709	0.1094084586
710	0.1092262905
711	0.1091126161
712	0.1089673647
713	0.1088280295
714	0.1087262919
715	0.1086163192
716	0.1085107806
717	0.1083969122
718	0.1083177059
719	0.108239138
720	0.1080907373
721	0.1080373095
722	0.1078811928
723	0.1076043465
724	0.1074799276
725	0.1074355501
726	0.1073666633
727	0.1072121948
728	0.1071596371
729	0.1070690847
730	0.1068826823
731	0.1067870984
732	0.1066556824
733	0.1065860738
734	0.1063750375
735	0.1061538884
736	0.1060228533
737	0.105911376
738	0.1058069077
739	0.1057192113
740	0.1056386931
741	0.105548209
742	0.1054209063
743	0.1053427063
744	0.105265497
745	0.1052032557
746	0.1049827758
747	0.1048812037
748	0.1047390735
749	0.1046564643
750	0.1045688503
751	0.104484356
752	0.1043457135
753	0.1041702997
754	0.1040993833
755	0.1040073725
756	0.1039273334
757	0.1037995881
758	0.1036816199
759	0.1035889383
760	0.1035333227
761	0.1033876391
762	0.1032913857
763	0.1031758426
764	0.1029951225
765	0.1028799235
766	0.1028047911
767	0.1026546455
768	0.1024545506
769	0.1023294876
770	0.1022361695
771	0.1020466182
772	0.1018722678
773	0.1017315077
774	0.1016533855
775	0.1015609107
776	0.1014295216
777	0.1012524042
778	0.1012338332
779	0.101190441
780	0.1011360976
781	0.101070002
782	0.1009652777
783	0.1008249569
784	0.1006865662
785	0.1005991151
786	0.1005013493
787	0.1004541577
788	0.1004071204
789	0.1002762161
790	0.1001482268
791	0.1000018557
792	0.09995373365
793	0.09983601745
794	0.09974392126
795	0.09964921963
796	0.09958826238
797	0.09946359048
798	0.09934325156
799	0.09929027484
800	0.09914331845
801	0.09903753492
802	0.09888729184
803	0.0988024256
804	0.09861800241
805	0.09853145838
806	0.09835658783
807	0.09822635332
808	0.09806196091
809	0.09793902661
810	0.09788400839
811	0.09779728348
812	0.09768095041
813	0.09758501169
814	0.0975045849
815	0.09736315088
816	0.09726506872
817	0.09709984451
818	0.09701431787
819	0.0968814819
820	0.09674727522
821	0.09668878588
822	0.09652141413
823	0.09644405115
824	0.09631565948
825	0.09614983947
826	0.09604367926
827	0.0959763553
828	0.09589696144
829	0.09584218351
830	0.09576204245
831	0.09561459735
832	0.09552607248
833	0.09533799338
834	0.09524394138
835	0.09518104604
836	0.09513081608
837	0.09502093547
838	0.09494668462
839	0.09488515657
840	0.09485714417
841	0.09468578573
842	0.09462599016
843	0.09454277127
844	0.09438166268
845	0.09434379272
846	0.09423100125
847	0.09414595719
848	0.09407573204
849	0.09400204861
850	0.09384340189
851	0.0937529602
852	0.09365639196
853	0.09349498811
854	0.09342758711
855	0.09328907778
856	0.09320549901
857	0.09297917093
858	0.09284930388
859	0.09273245939
860	0.09262678039
861	0.09252203755
862	0.09243860313
863	0.09230299061
864	0.09218733753
865	0.09209358202
866	0.09201094563
867	0.09190365271
868	0.09184291572
869	0.09174590387
870	0.09163299829
871	0.09155360066
872	0.09141199069
873	0.09129434996
874	0.09117290899
875	0.09111789353
876	0.09099544496
877	0.09089137438
878	0.09079428948
879	0.09074856509
880	0.09063226774
881	0.0905996032
882	0.09053869188
883	0.09048817863
884	0.09039584862
885	0.09029418138
886	0.09023960055
887	0.09009728577
888	0.08999450419
889	0.0898996407
890	0.08981471497
891	0.0897568355
892	0.08969463015
893	0.08957041155
894	0.08949751317
895	0.08937114425
896	0.08927250472
897	0.08916447634
898	0.08911488835
899	0.08903515594
900	0.0889117795
901	0.088883181
902	0.08879862284
903	0.08872584756
904	0.08859273673
905	0.08848538145
906	0.08841655358
907	0.08829983517
908	0.08810905424
909	0.08798382638
910	0.08790967195
911	0.08775613333
912	0.08765873471
913	0.08754820018
914	0.08747498957
915	0.08740413921
916	0.08728168365
917	0.08723217707
918	0.08712072977
919	0.08701859202
920	0.08694019837
921	0.08685020453
922	0.08670416853
923	0.08660561988
924	0.08651534912
925	0.08644910751
926	0.08634244932
927	0.08627356526
928	0.0861434931
929	0.08603785478
930	0.08593914217
931	0.08589871813
932	0.08582293862
933	0.08574757645
934	0.08561276883
935	0.08553513149
936	0.08545459621
937	0.08533772443
938	0.08527811913
939	0.08520762823
940	0.08509749282
941	0.08500256503
942	0.08492576123
943	0.08482493301
944	0.0847772711
945	0.08468889759
946	0.08458522953
947	0.08454489184
948	0.08443876394
949	0.08435274247
950	0.08426612008
951	0.08423308426
952	0.08414360302
953	0.08404606772
954	0.08396078667
955	0.08391815371
956	0.08385103117
957	0.08375426119
958	0.0836869217
959	0.08362340247
960	0.08358533169
961	0.08353683398
962	0.0834697094
963	0.08336925139
964	0.08331578623
965	0.08319516946
966	0.08313611691
967	0.08301410525
968	0.08292125295
969	0.08288550214
970	0.08280153346
971	0.08268336871
972	0.08262821847
973	0.08256323414
974	0.08249550677
975	0.08242429106
976	0.08236658441
977	0.082327315
978	0.0822577228
979	0.08220630734
980	0.08213683249
981	0.0820728864
982	0.08198900726
983	0.0818958
984	0.0818316535
985	0.08181626762
986	0.08173821137
987	0.08164104506
988	0.08152439843
989	0.08144658428
990	0.08137751363
991	0.08132992372
992	0.08125970671
993	0.08122328364
994	0.08118237663
995	0.08111332297
996	0.0810291119
997	0.08098266076
998	0.08088538628
999	0.08075939731
